Tract,Z_i,time,P_i
V1,229.699909729397,9.3113112449646,0.9751616962915399
V2,234.27559778341075,21.765751361846924,0.9945871968488087
V3,233.0311824768854,18.991632223129272,0.989304190239742
V4,232.2360406664062,15.668031454086304,0.985928517007599
V5,234.02712457994372,13.749654054641724,0.9935323355262189
V6,228.90100369082114,12.177439451217651,0.9717700425086848
V7,233.39536365274523,9.278984069824219,0.9908502750145567
V8,234.28924335121772,9.594499349594116,0.9946451273680901
V9,234.33426160157498,20.836686611175537,0.9948362466133444
V10,234.2623057925524,11.980106353759766,0.9945307673954067
V11,234.0553014005518,9.024030685424805,0.9936519566275622
V12,225.4891172194669,13.80752182006836,0.9572853132683486
V13,233.81463621680962,19.867805242538452,0.992630243257745
V14,233.34305879598932,12.16382098197937,0.990628221410363
V15,234.2843343091868,12.810832500457764,0.9946242866557028
V16,233.5810256245593,16.053700923919678,0.9916384792571458
V17,231.6768154803549,10.801426649093628,0.9835543977418091
V18,233.59134982831324,13.618812561035156,0.9916823093485786
V19,234.08396747359876,11.493375062942505,0.9937736547877897
V20,233.97784076991869,15.179335355758667,0.9933231073909518
V21,232.69771805182285,8.062830686569214,0.9878885095162278
V22,233.06549491485612,18.5040864944458,0.9894498593227419
V23,233.62347000892026,6.688400030136108,0.9918186714822984
V24,234.2274269495102,9.590996980667114,0.9943826937118524
V25,232.48238384932193,13.096716165542603,0.9869743355993649
V26,232.22901278790505,10.801965713500977,0.9858986810449789
V27,232.21131886887008,10.499725818634033,0.985823563766437
V28,233.65541649583832,10.63651967048645,0.9919542962215953
V29,232.41972765159747,9.14736819267273,0.9867083366961518
V30,231.7601426763613,5.211598634719849,0.9839081527341405
V31,230.30566479965643,11.375338315963745,0.9777333522514716
V32,231.50939403077075,8.291159868240356,0.9828436313119728
V33,233.68686878207004,16.06743574142456,0.9920878228948539
V34,230.98655914861317,15.455241680145264,0.9806240024441784
V35,230.99897946286575,11.57863450050354,0.9806767313056275
V36,234.24228885259313,9.84693694114685,0.9944457880275513
V37,234.23990847741038,17.478018045425415,0.9944356824480421
V38,234.25579792530974,8.518080234527588,0.99450313907432
V39,227.4740025538578,10.960786819458008,0.9657118910232511
V40,227.9486596038691,17.708555221557617,0.9677269870439289
V41,216.34242331005478,15.705867052078247,0.9184541898313843
V42,230.15194202807027,8.80802297592163,0.9770807418134649
V43,234.18923488193863,5.055589437484741,0.99422055415576
V44,233.86648915411774,10.452096223831177,0.9928503782955108
V45,226.6832180301177,12.514814615249634,0.9623547160967135
V46,232.9314061071433,8.653434753417969,0.9888806023764201
V47,229.62677702947994,20.705158472061157,0.97485122073328
V48,232.9853797266731,8.798315525054932,0.9891097405003213
V49,233.633048787382,15.151074409484863,0.991859336965642
V50,230.24134878626614,16.043880224227905,0.9774603068123583
V51,224.91335765069982,5.632960557937622,0.9548409993877015
V52,208.77095404125174,13.007655382156372,0.886310481876586
V53,231.86067614490858,12.63339900970459,0.9843349547639633
V54,230.8598686714742,12.035951137542725,0.9800861541675449
V55,226.36623060426547,8.761958122253418,0.9610089863736966
V56,232.26770602799405,15.99236273765564,0.98606294826513
V57,229.06361484370166,10.217079401016235,0.9724603874368378
V58,230.24210186182802,14.495098114013672,0.9774635038986924
V59,228.81735444629408,18.763991355895996,0.9714149203003974
V60,229.8506558176602,11.661018133163452,0.9758016695998152
V61,233.59987060142817,14.600620031356812,0.9917184832050431
V62,230.86776726509598,15.94737434387207,0.9801196866402551
V63,233.6783774497307,19.542027235031128,0.9920517740254505
V64,233.20805621472124,16.964313507080078,0.9900550851548537
V65,232.63138299421288,14.48304009437561,0.9876068924821647
V66,225.98569472934102,15.692413568496704,0.9593934698080685
V67,233.1579151048554,13.571745157241821,0.9898422174623573
V68,232.03600843145074,20.455769777297974,0.9850793056440335
V69,226.2353914596844,13.629331827163696,0.9604535254580988
V70,232.32649395317645,14.552285432815552,0.9863125249101964
V71,216.20409300795876,14.541851997375488,0.9178669261611486
V72,226.68810493275856,8.340364456176758,0.9623754628191414
V73,223.69785694042517,12.635734796524048,0.9496807460124547
V74,231.44362265998606,12.332674026489258,0.9825644073384965
V75,233.7160904966604,10.820313215255737,0.9922118799604489
V76,231.43872647604812,8.836857080459595,0.9825436212135045
V77,233.60444248207116,11.673405170440674,0.9917378925417221
V78,233.96393840498766,6.703263759613037,0.9932640866722037
V79,232.01867391191814,19.884971141815186,0.9850057141502809
V80,233.46362665850714,13.753479480743408,0.9911400769068219
V81,140.2933762505054,6.44161581993103,0.5955976514056126
V82,195.68315081800992,10.116607427597046,0.8307478810599737
V83,233.0926033628078,14.553370714187622,0.9895649447841143
V84,230.62312654825092,6.362673282623291,0.9790810956512483
V85,227.02765815821303,14.329962253570557,0.9638169927688289
V86,233.54035534704659,6.739338397979736,0.9914658187765445
V87,231.80358351925244,14.277906656265259,0.984092575297005
V88,233.48898265202615,9.230747938156128,0.9912477225462142
V89,233.22160328248,14.931921482086182,0.9901125975047322
V90,233.57824983323664,12.444160223007202,0.9916266949888022
V91,233.85712357960585,10.148712635040283,0.9928106179423678
V92,234.48857123745654,24.808765172958374,0.9954913485089335
V93,190.65005025759265,10.446470260620117,0.8093804939944564
V94,231.27172293915038,16.381807565689087,0.9818346289787242
V95,232.84516775183562,7.9608154296875,0.9885144884282417
V96,231.1216246944105,20.400779485702515,0.981197406007573
V97,230.2597989651108,17.534792184829712,0.9775386346955526
V98,229.52241449273168,22.058853149414062,0.9744081628823448
V99,227.08383041625464,13.905792713165283,0.9640554649323614
V100,231.655031951583,8.008199214935303,0.9834619185462646
V101,223.90718105149514,13.058873176574707,0.9505694048520084
V102,233.19434784844685,8.591418743133545,0.9899968880326814
V103,231.67433950369903,12.018779039382935,0.9835438862984283
V104,230.42058364189177,8.889239311218262,0.9782212255521713
V105,226.38453982944208,9.096360683441162,0.9610867158560549
V106,226.71460915041652,16.369837999343872,0.9624879830977983
V107,227.97688441072773,17.560335636138916,0.967846811864784
V108,232.23081537956588,4.956892490386963,0.9859063337181722
V109,233.5308821408149,9.533047676086426,0.9914256014866505
V110,225.86482192653327,12.272479057312012,0.9588803197264669
V111,232.86112741252046,14.305940628051758,0.9885822431339533
V112,232.20635222432716,6.644550561904907,0.9858024785099253
V113,233.90305222298826,22.06854557991028,0.9930056021451997
V114,233.60479484882725,12.185728788375854,0.9917393884698833
V115,230.2763029416113,20.245949268341064,0.9776087002246978
V116,227.1032141711954,11.20401644706726,0.9641377561939068
V117,233.0765738916025,8.65944242477417,0.989496893706734
V118,228.55728604606244,23.46231508255005,0.9703108330475096
V119,231.6910800227719,10.242961406707764,0.9836149560389219
V120,232.29895266941722,13.198613166809082,0.986195601899559
V121,229.16709300853105,7.067237138748169,0.9728996907994862
V122,233.0565892816271,18.722105264663696,0.9894120515917054
whole GM,235.5505867415906,21.07401418685913,N/A
