County,DailyTravel,Annual,Population,Population by annual travel,Normalized population,County seat,Lat,Lon
Adams,653383,238484795,20094,8.42569439280186E-05,0.003470362030571,Friendship,43.97,-89.82
Ashland,717681,261953565,15617,5.96174363956452E-05,0.002697155560437,Ashland,46.58,-90.87
Barron,1953862,713159630,45229,6.34205836917606E-05,0.007811336930462,Barron,45.4,-91.85
Bayfield,1160830,423702950,14993,3.53856398686863E-05,0.002589386778359,Washburn,46.67,-90.89
Brown,6984778,2549443970,261368,0.000102519609403,0.045139921529129,Green Bay,44.52,-87.99
Buffalo,755679,275822835,13126,4.75885181877708E-05,0.002266943964033,Alma,44.44,-90.91
Burnett,785066,286549090,15289,5.335560479358E-05,0.002640507867294,Siren,45.78,-92.38
Calumet,1230950,449296750,49928,0.000111124774439,0.008622884217296,Chilton,44.03,-88.16
Chippewa,2795795,1020465175,63892,6.26106618484065E-05,0.011034556129056,Chippewa Falls,44.94,-91.39
Clark,1538818,561668570,34579,6.15647765371667E-05,0.00597201396711,Neillsville,44.56,-90.59
Columbia,2920038,1065813870,57133,5.36050445656144E-05,0.009867233696259,Portage,43.55,-89.47
Crawford,696909,254371785,16235,6.38239024819518E-05,0.002803888104226,Prairie du Chien,43.04,-91.14
Dane,14391678,5252962470,536078,0.000102052509048,0.092584091600702,Madison,43.08,-89.39
Dodge,2833366,1034178590,87715,8.48161051177824E-05,0.015148940256372,Juneau,43.41,-88.7
Door,1373665,501387725,27472,5.47919277441425E-05,0.004744589713539,Sturgeon Bay,44.82,-87.37
Douglas,1782810,650725650,43295,6.65334154263014E-05,0.007477322788573,Superior,46.7,-92.06
Dunn,2085465,761194725,44759,5.8800985516551E-05,0.00773016493114,Menomonie,44.89,-91.91
Eau Claire,3113401,1136391365,103514,9.1090097292318E-05,0.017877528378249,Eau Claire,44.82,-91.49
Florence,258066,94194090,4314,4.57990517239457E-05,0.000745055329943,Florence,45.93,-88.25
Fond Du Lac,3434454,1253575710,102597,8.18434811567943E-05,0.017719156626381,Fond du Lac,43.77,-88.44
Forest,437339,159628735,8995,5.63495037406642E-05,0.00155349390191,Crandon,45.57,-88.9
Grant,1593171,581507415,51733,8.89636119257396E-05,0.008934619235968,Lancaster,42.85,-90.71
Green,940384,343240160,36896,0.000107493249042,0.006372174653128,Monroe,42.6,-89.64
Green Lake,626691,228742215,18755,8.19918614497984E-05,0.003239108185695,Green Lake,43.84,-88.96
Iowa,1173961,428495765,23618,5.51183977279215E-05,0.004078979319102,Dodgeville,42.97,-90.13
Iron,322607,117751555,5687,4.82966021128129E-05,0.000982181191791,Hurley,46.45,-90.2
Jackson,2010591,733865715,20522,2.79642441124259E-05,0.003544280361868,Black River Falls,44.3,-90.84
Jefferson,2840098,1036635770,84701,8.17075798956851E-05,0.014628403222425,Jefferson,43,-88.81
Juneau,2068512,755006880,26478,3.50698790983203E-05,0.004572919570293,Mauston,43.8,-90.08
Kenosha,4483466,1636465090,168524,0.000102980504155,0.029105170241862,Kenosha,42.59,-87.87
Kewaunee,634068,231434820,20387,8.80895968895259E-05,0.003520965000361,Kewaunee,44.46,-87.51
La Crosse,3131535,1143010275,117894,0.000103143429747,0.020361046144727,La Crosse,43.82,-91.23
Lafayette,703676,256841740,16715,6.5078985993476E-05,0.002886787167363,Darlington,42.68,-90.12
Langlade,636700,232395500,19146,8.2385416240848E-05,0.003306636380876,Antigo,45.14,-89.16
Lincoln,1515461,553143265,27744,5.01569878103822E-05,0.004791565849316,Merrill,45.18,-89.7
Manitowoc,2334706,852167690,79185,9.29218520359532E-05,0.013675754821876,Manitowoc,44.1,-87.68
Marathon,4839312,1766348880,135396,7.66530335728466E-05,0.023383753234359,Wausau,44.96,-89.64
Marinette,2508130,915467450,40391,4.41206293025492E-05,0.006975783456594,Marinette,45.09,-87.63
Marquette,909368,331919320,15304,4.61075902421106E-05,0.002643098463017,Montello,43.79,-89.33
Menominee,94237,34396505,4558,0.000132513463214,0.000787195687038,Keshena,44.87,-88.6
Milwaukee,19405534,7083019910,951226,0.000134296671771,0.164282800482334,Milwaukee,43.06,-87.97
Monroe,2404896,877787040,45229,5.15261651618825E-05,0.007811336930462,Sparta,43.94,-90.81
Oconto,1840913,671933245,37646,5.60263988724058E-05,0.006501704439279,Oconto,44.89,-87.87
Oneida,1427786,521141890,35381,6.78912992390614E-05,0.006110524485102,Rhinelander,45.64,-89.43
Outagamie,4645438,1695584870,185700,0.000109519731678,0.032071575051113,Appleton,44.28,-88.39
Ozaukee,2957557,1079508305,88597,8.20716242660125E-05,0.015301267284887,Port Washington,43.38,-87.88
Pepin,294543,107508195,7265,6.75762438388999E-05,0.001254711861854,Durand,44.63,-91.96
Pierce,1099233,401220045,41977,0.0001046233869,0.007249695777709,Ellsworth,44.74,-92.48
Polk,1738468,634540820,43438,6.8455800841938E-05,0.007502019801132,Balsam Lake,45.46,-92.45
Portage,2716143,991392195,70632,7.12452653513174E-05,0.012198597140604,Stevens Point,44.53,-89.55
Price,583727,213060355,13416,6.29680730608001E-05,0.002317028814678,Phillips,45.7,-90.4
Racine,4688675,1711366375,195602,0.000114295806472,0.033781713641075,Racine,42.73,-87.81
Richland,700822,255800030,17459,6.82525330430962E-05,0.003015280715225,Richland Center,43.34,-90.38
Rock,4526840,1652296600,162152,9.8137344106379E-05,0.028004685178718,Janesville,42.69,-89.01
Rusk,779001,284335365,14132,4.97018722943592E-05,0.002440686583857,Ladysmith,45.46,-91.1
St Croix,3727958,1360704670,88732,6.52103295860666E-05,0.015324582646394,Baraboo,43.47,-89.74
Sauk,2401158,876422670,63922,7.29351284352332E-05,0.011039737320502,Hayward,46.01,-91.48
Sawyer,857491,312984215,16399,5.23956136254348E-05,0.002832211950798,Shawano,44.77,-88.58
Shawano,1824438,665919870,40904,6.14248077625315E-05,0.007064381830322,Sheboygan,43.74,-87.73
Sheboygan,2995525,1093366625,115178,0.00010534252406,0.019891975612477,Hudson,44.96,-92.73
Taylor,720888,263124120,20325,7.72449139212323E-05,0.003510257204706,Medford,45.14,-90.34
Trempwaleau,1409161,514343765,29499,5.73526929017989E-05,0.005094665548911,Whitehall,44.37,-91.33
Vernon,969029,353695585,30633,8.66083753915108E-05,0.005290514585572,Viroqua,43.56,-90.89
Vilas,939629,342964585,21751,6.34205423863225E-05,0.003756536504775,Eagle River,45.92,-89.26
Walworth,3560774,1299682510,103074,7.93070609221324E-05,0.017801537570374,Elkhorn,42.67,-88.54
Washburn,1033542,377242830,15688,4.15859461132767E-05,0.002709417713526,Shell Lake,45.73,-91.9
Washington,4453920,1625680800,134925,8.29959977383014E-05,0.023302408528656,West Bend,43.42,-88.18
Waukesha,11754569,4290417685,400475,9.33417278695559E-05,0.069164588145365,Waukesha,43.01,-88.25
Waupaca,1727402,630501730,51245,8.12765414616705E-05,0.008850338521778,Waupaca,44.35,-89.07
Waushara,1097405,400552825,24193,6.03990247728249E-05,0.004178285488484,Wautoma,44.07,-89.29
Winnebago,5273774,1924927510,170411,8.85285285366408E-05,0.029431067183819,Oshkosh,44.02,-88.56
Wood,1929411,704235015,73112,0.000103817615487,0.012626908966812,Rapids,44.39,-89.83
,,,5790174,,,,,
